Script started on 2026-04-22 17:14:43+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && { /usr/bin/time -p sudo PYTHONPATH=. python3 -u main.py --mode client --config config_phase1.json --file ./gdrive-folder/test_100mb_file; } 2>&1" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[CLIENT] running on 172.31.64.201:50000
[CLIENT] talking to server 172.31.77.14:50000
[CLIENT] sent ClientHello
[CLIENT] Handshake complete
[CLIENT] requested file: ./gdrive-folder/test_100mb_file
[CLIENT] sent ACK 4
[CLIENT] sent ACK 29
[CLIENT] sent ACK 54
[CLIENT] sent ACK 80
[CLIENT] sent ACK 105
[CLIENT] sent ACK 132
[CLIENT] sent ACK 156
[CLIENT] sent ACK 181
[CLIENT] sent ACK 208
[CLIENT] sent ACK 236
[CLIENT] sent ACK 262
[CLIENT] sent ACK 289
[CLIENT] sent ACK 315
[CLIENT] sent ACK 342
[CLIENT] sent ACK 368
[CLIENT] sent ACK 395
[CLIENT] sent ACK 421
[CLIENT] sent ACK 444
[CLIENT] sent ACK 467
[CLIENT] sent ACK 492
[CLIENT] sent ACK 517
[CLIENT] sent ACK 543
[CLIENT] sent ACK 568
[CLIENT] sent ACK 592
[CLIENT] sent ACK 613
[CLIENT] sent ACK 634
[CLIENT] sent ACK 658
[CLIENT] sent ACK 681
[CLIENT] sent ACK 705
[CLIENT] sent ACK 731
[CLIENT] sent ACK 754
[CLIENT] sent ACK 777
[CLIENT] sent ACK 802
[CLIENT] sent ACK 825
[CLIENT] sent ACK 847
[CLIENT] sent ACK 876
[CLIENT] sent ACK 903
[CLIENT] sent ACK 927
[CLIENT] sent ACK 952
[CLIENT] sent ACK 974
[CLIENT] sent ACK 996
[CLIENT] sent ACK 1020
[CLIENT] sent ACK 1039
[CLIENT] sent ACK 1059
[CLIENT] sent ACK 1083
[CLIENT] sent ACK 1106
[CLIENT] sent ACK 1127
[CLIENT] sent ACK 1153
[CLIENT] sent ACK 1178
[CLIENT] sent ACK 1199
[CLIENT] sent ACK 1223
[CLIENT] sent ACK 1248
[CLIENT] sent ACK 1274
[CLIENT] sent ACK 1297
[CLIENT] sent ACK 1319
[CLIENT] sent ACK 1343
[CLIENT] sent ACK 1366
[CLIENT] sent ACK 1391
[CLIENT] sent ACK 1415
[CLIENT] sent ACK 1437
[CLIENT] sent ACK 1459
[CLIENT] sent ACK 1483
[CLIENT] sent ACK 1508
[CLIENT] sent ACK 1532
[CLIENT] sent ACK 1554
[CLIENT] sent ACK 1580
[CLIENT] sent ACK 1603
[CLIENT] sent ACK 1627
[CLIENT] sent ACK 1650
[CLIENT] sent ACK 1673
[CLIENT] sent ACK 1697
[CLIENT] sent ACK 1720
[CLIENT] sent ACK 1744
[CLIENT] sent ACK 1769
[CLIENT] sent ACK 1791
[CLIENT] sent ACK 1816
[CLIENT] sent ACK 1840
[CLIENT] sent ACK 1864
[CLIENT] sent ACK 1887
[CLIENT] sent ACK 1910
[CLIENT] sent ACK 1934
[CLIENT] sent ACK 1957
[CLIENT] sent ACK 1982
[CLIENT] sent ACK 2006
[CLIENT] sent ACK 2030
[CLIENT] sent ACK 2055
[CLIENT] sent ACK 2079
[CLIENT] sent ACK 2103
[CLIENT] sent ACK 2128
[CLIENT] sent ACK 2151
[CLIENT] sent ACK 2177
[CLIENT] sent ACK 2202
[CLIENT] sent ACK 2227
[CLIENT] sent ACK 2251
[CLIENT] sent ACK 2275
[CLIENT] sent ACK 2301
[CLIENT] sent ACK 2324
[CLIENT] sent ACK 2349
[CLIENT] sent ACK 2375
[CLIENT] sent ACK 2398
[CLIENT] sent ACK 2421
[CLIENT] sent ACK 2443
[CLIENT] sent ACK 2467
[CLIENT] sent ACK 2490
[CLIENT] sent ACK 2513
[CLIENT] sent ACK 2538
[CLIENT] sent ACK 2563
[CLIENT] sent ACK 2588
[CLIENT] sent ACK 2613
[CLIENT] sent ACK 2637
[CLIENT] sent ACK 2660
[CLIENT] sent ACK 2685
[CLIENT] sent ACK 2711
[CLIENT] sent ACK 2736
[CLIENT] sent ACK 2759
[CLIENT] sent ACK 2784
[CLIENT] sent ACK 2808
[CLIENT] sent ACK 2832
[CLIENT] sent ACK 2856
[CLIENT] sent ACK 2880
[CLIENT] sent ACK 2903
[CLIENT] sent ACK 2928
[CLIENT] sent ACK 2952
[CLIENT] sent ACK 2976
[CLIENT] sent ACK 2998
[CLIENT] sent ACK 3022
[CLIENT] sent ACK 3046
[CLIENT] sent ACK 3071
[CLIENT] sent ACK 3096
[CLIENT] sent ACK 3120
[CLIENT] sent ACK 3145
[CLIENT] sent ACK 3170
[CLIENT] sent ACK 3193
[CLIENT] sent ACK 3215
[CLIENT] sent ACK 3238
[CLIENT] sent ACK 3262
[CLIENT] sent ACK 3286
[CLIENT] sent ACK 3309
[CLIENT] sent ACK 3334
[CLIENT] sent ACK 3356
[CLIENT] sent ACK 3379
[CLIENT] sent ACK 3404
[CLIENT] sent ACK 3427
[CLIENT] sent ACK 3450
[CLIENT] sent ACK 3472
[CLIENT] sent ACK 3496
[CLIENT] sent ACK 3521
[CLIENT] sent ACK 3545
[CLIENT] sent ACK 3569
[CLIENT] sent ACK 3592
[CLIENT] sent ACK 3615
[CLIENT] sent ACK 3639
[CLIENT] sent ACK 3663
[CLIENT] sent ACK 3687
[CLIENT] sent ACK 3711
[CLIENT] sent ACK 3736
[CLIENT] sent ACK 3763
[CLIENT] sent ACK 3788
[CLIENT] sent ACK 3812
[CLIENT] sent ACK 3835
[CLIENT] sent ACK 3860
[CLIENT] sent ACK 3886
[CLIENT] sent ACK 3909
[CLIENT] sent ACK 3931
[CLIENT] sent ACK 3954
[CLIENT] sent ACK 3980
[CLIENT] sent ACK 4006
[CLIENT] sent ACK 4034
[CLIENT] sent ACK 4058
[CLIENT] sent ACK 4082
[CLIENT] sent ACK 4106
[CLIENT] sent ACK 4130
[CLIENT] sent ACK 4156
[CLIENT] sent ACK 4180
[CLIENT] sent ACK 4205
[CLIENT] sent ACK 4229
[CLIENT] sent ACK 4253
[CLIENT] sent ACK 4278
[CLIENT] sent ACK 4301
[CLIENT] sent ACK 4325
[CLIENT] sent ACK 4350
[CLIENT] sent ACK 4375
[CLIENT] sent ACK 4398
[CLIENT] sent ACK 4421
[CLIENT] sent ACK 4445
[CLIENT] sent ACK 4470
[CLIENT] sent ACK 4495
[CLIENT] sent ACK 4520
[CLIENT] sent ACK 4546
[CLIENT] sent ACK 4568
[CLIENT] sent ACK 4594
[CLIENT] sent ACK 4618
[CLIENT] sent ACK 4645
[CLIENT] sent ACK 4668
[CLIENT] sent ACK 4694
[CLIENT] sent ACK 4719
[CLIENT] sent ACK 4744
[CLIENT] sent ACK 4770
[CLIENT] sent ACK 4793
[CLIENT] sent ACK 4817
[CLIENT] sent ACK 4841
[CLIENT] sent ACK 4865
[CLIENT] sent ACK 4889
[CLIENT] sent ACK 4912
[CLIENT] sent ACK 4937
[CLIENT] sent ACK 4961
[CLIENT] sent ACK 4983
[CLIENT] sent ACK 4998
[CLIENT] sent ACK 5024
[CLIENT] sent ACK 5049
[CLIENT] sent ACK 5076
[CLIENT] sent ACK 5101
[CLIENT] sent ACK 5128
[CLIENT] sent ACK 5156
[CLIENT] sent ACK 5184
[CLIENT] sent ACK 5212
[CLIENT] sent ACK 5236
[CLIENT] sent ACK 5259
[CLIENT] sent ACK 5281
[CLIENT] sent ACK 5307
[CLIENT] sent ACK 5331
[CLIENT] sent ACK 5356
[CLIENT] sent ACK 5380
[CLIENT] sent ACK 5403
[CLIENT] sent ACK 5429
[CLIENT] sent ACK 5453
[CLIENT] sent ACK 5476
[CLIENT] sent ACK 5500
[CLIENT] sent ACK 5524
[CLIENT] sent ACK 5548
[CLIENT] sent ACK 5572
[CLIENT] sent ACK 5596
[CLIENT] sent ACK 5621
[CLIENT] sent ACK 5643
[CLIENT] sent ACK 5668
[CLIENT] sent ACK 5692
[CLIENT] sent ACK 5717
[CLIENT] sent ACK 5740
[CLIENT] sent ACK 5762
[CLIENT] sent ACK 5785
[CLIENT] sent ACK 5809
[CLIENT] sent ACK 5834
[CLIENT] sent ACK 5858
[CLIENT] sent ACK 5881
[CLIENT] sent ACK 5905
[CLIENT] sent ACK 5929
[CLIENT] sent ACK 5954
[CLIENT] sent ACK 5978
[CLIENT] sent ACK 6002
[CLIENT] sent ACK 6026
[CLIENT] sent ACK 6052
[CLIENT] sent ACK 6077
[CLIENT] sent ACK 6101
[CLIENT] sent ACK 6122
[CLIENT] sent ACK 6147
[CLIENT] sent ACK 6171
[CLIENT] sent ACK 6197
[CLIENT] sent ACK 6221
[CLIENT] sent ACK 6245
[CLIENT] sent ACK 6269
[CLIENT] sent ACK 6292
[CLIENT] sent ACK 6315
[CLIENT] sent ACK 6340
[CLIENT] sent ACK 6362
[CLIENT] sent ACK 6388
[CLIENT] sent ACK 6415
[CLIENT] sent ACK 6440
[CLIENT] sent ACK 6462
[CLIENT] sent ACK 6484
[CLIENT] sent ACK 6509
[CLIENT] sent ACK 6536
[CLIENT] sent ACK 6562
[CLIENT] sent ACK 6587
[CLIENT] sent ACK 6610
[CLIENT] sent ACK 6631
[CLIENT] sent ACK 6658
[CLIENT] sent ACK 6679
[CLIENT] sent ACK 6704
[CLIENT] sent ACK 6727
[CLIENT] sent ACK 6753
[CLIENT] sent ACK 6778
[CLIENT] sent ACK 6801
[CLIENT] sent ACK 6826
[CLIENT] sent ACK 6850
[CLIENT] sent ACK 6875
[CLIENT] sent ACK 6901
[CLIENT] sent ACK 6926
[CLIENT] sent ACK 6948
[CLIENT] sent ACK 6971
[CLIENT] sent ACK 6996
[CLIENT] sent ACK 7021
[CLIENT] sent ACK 7044
[CLIENT] sent ACK 7068
[CLIENT] sent ACK 7093
[CLIENT] sent ACK 7118
[CLIENT] sent ACK 7143
[CLIENT] sent ACK 7169
[CLIENT] sent ACK 7193
[CLIENT] sent ACK 7219
[CLIENT] sent ACK 7245
[CLIENT] sent ACK 7270
[CLIENT] sent ACK 7295
[CLIENT] sent ACK 7318
[CLIENT] sent ACK 7344
[CLIENT] sent ACK 7370
[CLIENT] sent ACK 7395
[CLIENT] sent ACK 7420
[CLIENT] sent ACK 7442
[CLIENT] sent ACK 7464
[CLIENT] sent ACK 7488
[CLIENT] sent ACK 7512
[CLIENT] sent ACK 7537
[CLIENT] sent ACK 7561
[CLIENT] sent ACK 7586
[CLIENT] sent ACK 7610
[CLIENT] sent ACK 7636
[CLIENT] sent ACK 7662
[CLIENT] sent ACK 7686
[CLIENT] sent ACK 7709
[CLIENT] sent ACK 7736
[CLIENT] sent ACK 7760
[CLIENT] sent ACK 7786
[CLIENT] sent ACK 7809
[CLIENT] sent ACK 7834
[CLIENT] sent ACK 7857
[CLIENT] sent ACK 7882
[CLIENT] sent ACK 7906
[CLIENT] sent ACK 7928
[CLIENT] sent ACK 7951
[CLIENT] sent ACK 7975
[CLIENT] sent ACK 7997
[CLIENT] sent ACK 8021
[CLIENT] sent ACK 8043
[CLIENT] sent ACK 8068
[CLIENT] sent ACK 8091
[CLIENT] sent ACK 8116
[CLIENT] sent ACK 8140
[CLIENT] sent ACK 8165
[CLIENT] sent ACK 8188
[CLIENT] sent ACK 8212
[CLIENT] sent ACK 8234
[CLIENT] sent ACK 8257
[CLIENT] sent ACK 8282
[CLIENT] sent ACK 8305
[CLIENT] sent ACK 8330
[CLIENT] sent ACK 8354
[CLIENT] sent ACK 8377
[CLIENT] sent ACK 8401
[CLIENT] sent ACK 8424
[CLIENT] sent ACK 8447
[CLIENT] sent ACK 8472
[CLIENT] sent ACK 8496
[CLIENT] sent ACK 8520
[CLIENT] sent ACK 8541
[CLIENT] sent ACK 8566
[CLIENT] sent ACK 8592
[CLIENT] sent ACK 8617
[CLIENT] sent ACK 8641
[CLIENT] sent ACK 8664
[CLIENT] sent ACK 8688
[CLIENT] sent ACK 8712
[CLIENT] sent ACK 8739
[CLIENT] sent ACK 8763
[CLIENT] sent ACK 8787
[CLIENT] sent ACK 8812
[CLIENT] sent ACK 8835
[CLIENT] sent ACK 8857
[CLIENT] sent ACK 8878
[CLIENT] sent ACK 8903
[CLIENT] sent ACK 8929
[CLIENT] sent ACK 8957
[CLIENT] sent ACK 8983
[CLIENT] sent ACK 9010
[CLIENT] sent ACK 9037
[CLIENT] sent ACK 9063
[CLIENT] sent ACK 9087
[CLIENT] sent ACK 9111
[CLIENT] sent ACK 9134
[CLIENT] sent ACK 9159
[CLIENT] sent ACK 9184
[CLIENT] sent ACK 9206
[CLIENT] sent ACK 9231
[CLIENT] sent ACK 9255
[CLIENT] sent ACK 9280
[CLIENT] sent ACK 9304
[CLIENT] sent ACK 9328
[CLIENT] sent ACK 9352
[CLIENT] sent ACK 9375
[CLIENT] sent ACK 9399
[CLIENT] sent ACK 9428
[CLIENT] sent ACK 9453
[CLIENT] sent ACK 9480
[CLIENT] sent ACK 9503
[CLIENT] sent ACK 9528
[CLIENT] sent ACK 9552
[CLIENT] sent ACK 9576
[CLIENT] sent ACK 9602
[CLIENT] sent ACK 9624
[CLIENT] sent ACK 9649
[CLIENT] sent ACK 9675
[CLIENT] sent ACK 9701
[CLIENT] sent ACK 9728
[CLIENT] sent ACK 9750
[CLIENT] sent ACK 9773
[CLIENT] sent ACK 9801
[CLIENT] sent ACK 9826
[CLIENT] sent ACK 9851
[CLIENT] sent ACK 9875
[CLIENT] sent ACK 9903
[CLIENT] sent ACK 9928
[CLIENT] sent ACK 9953
[CLIENT] sent ACK 9979
[CLIENT] sent ACK 10001
[CLIENT] sent ACK 10027
[CLIENT] sent ACK 10054
[CLIENT] sent ACK 10078
[CLIENT] sent ACK 10105
[CLIENT] sent ACK 10130
[CLIENT] sent ACK 10155
[CLIENT] sent ACK 10180
[CLIENT] sent ACK 10204
[CLIENT] sent ACK 10228
[CLIENT] sent ACK 10252
[CLIENT] sent ACK 10275
[CLIENT] sent ACK 10301
[CLIENT] sent ACK 10323
[CLIENT] sent ACK 10348
[CLIENT] sent ACK 10373
[CLIENT] sent ACK 10397
[CLIENT] sent ACK 10422
[CLIENT] sent ACK 10448
[CLIENT] sent ACK 10473
[CLIENT] sent ACK 10498
[CLIENT] sent ACK 10523
[CLIENT] sent ACK 10549
[CLIENT] sent ACK 10576
[CLIENT] sent ACK 10601
[CLIENT] sent ACK 10625
[CLIENT] sent ACK 10650
[CLIENT] sent ACK 10674
[CLIENT] sent ACK 10698
[CLIENT] sent ACK 10723
[CLIENT] sent ACK 10746
[CLIENT] sent ACK 10771
[CLIENT] sent ACK 10795
[CLIENT] sent ACK 10821
[CLIENT] sent ACK 10847
[CLIENT] sent ACK 10870
[CLIENT] sent ACK 10895
[CLIENT] sent ACK 10918
[CLIENT] sent ACK 10943
[CLIENT] sent ACK 10967
[CLIENT] sent ACK 10992
[CLIENT] sent ACK 11015
[CLIENT] sent ACK 11041
[CLIENT] sent ACK 11066
[CLIENT] sent ACK 11092
[CLIENT] sent ACK 11116
[CLIENT] sent ACK 11140
[CLIENT] sent ACK 11166
[CLIENT] sent ACK 11190
[CLIENT] sent ACK 11215
[CLIENT] sent ACK 11239
[CLIENT] sent ACK 11266
[CLIENT] sent ACK 11292
[CLIENT] sent ACK 11316
[CLIENT] sent ACK 11343
[CLIENT] sent ACK 11368
[CLIENT] sent ACK 11393
[CLIENT] sent ACK 11417
[CLIENT] sent ACK 11442
[CLIENT] sent ACK 11468
[CLIENT] sent ACK 11492
[CLIENT] sent ACK 11517
[CLIENT] sent ACK 11545
[CLIENT] sent ACK 11571
[CLIENT] sent ACK 11598
[CLIENT] sent ACK 11622
[CLIENT] sent ACK 11646
[CLIENT] sent ACK 11672
[CLIENT] sent ACK 11696
[CLIENT] sent ACK 11721
[CLIENT] sent ACK 11744
[CLIENT] sent ACK 11769
[CLIENT] sent ACK 11794
[CLIENT] sent ACK 11817
[CLIENT] sent ACK 11841
[CLIENT] sent ACK 11864
[CLIENT] sent ACK 11888
[CLIENT] sent ACK 11914
[CLIENT] sent ACK 11937
[CLIENT] sent ACK 11962
[CLIENT] sent ACK 11986
[CLIENT] sent ACK 12012
[CLIENT] sent ACK 12036
[CLIENT] sent ACK 12061
[CLIENT] sent ACK 12086
[CLIENT] sent ACK 12110
[CLIENT] sent ACK 12134
[CLIENT] sent ACK 12160
[CLIENT] sent ACK 12185
[CLIENT] sent ACK 12209
[CLIENT] sent ACK 12234
[CLIENT] sent ACK 12257
[CLIENT] sent ACK 12283
[CLIENT] sent ACK 12308
[CLIENT] sent ACK 12333
[CLIENT] sent ACK 12356
[CLIENT] sent ACK 12381
[CLIENT] sent ACK 12405
[CLIENT] sent ACK 12428
[CLIENT] sent ACK 12451
[CLIENT] sent ACK 12474
[CLIENT] sent ACK 12499
[CLIENT] sent ACK 12523
[CLIENT] sent ACK 12548
[CLIENT] sent ACK 12573
[CLIENT] sent ACK 12598
[CLIENT] sent ACK 12619
[CLIENT] sent ACK 12644
[CLIENT] sent ACK 12667
[CLIENT] sent ACK 12691
[CLIENT] sent ACK 12717
[CLIENT] sent ACK 12742
[CLIENT] sent ACK 12767
[CLIENT] sent ACK 12791
[CLIENT] sent ACK 12816
[CLIENT] sent ACK 12840
[CLIENT] sent ACK 12865
[CLIENT] sent ACK 12892
[CLIENT] sent ACK 12917
[CLIENT] sent ACK 12943
[CLIENT] sent ACK 12967
[CLIENT] sent ACK 12993
[CLIENT] sent ACK 13019
[CLIENT] sent ACK 13046
[CLIENT] sent ACK 13072
[CLIENT] sent ACK 13097
[CLIENT] sent ACK 13121
[CLIENT] sent ACK 13145
[CLIENT] sent ACK 13169
[CLIENT] sent ACK 13192
[CLIENT] sent ACK 13216
[CLIENT] sent ACK 13241
[CLIENT] sent ACK 13266
[CLIENT] sent ACK 13290
[CLIENT] sent ACK 13314
[CLIENT] sent ACK 13337
[CLIENT] sent ACK 13362
[CLIENT] sent ACK 13387
[CLIENT] sent ACK 13410
[CLIENT] sent ACK 13436
[CLIENT] sent ACK 13459
[CLIENT] sent ACK 13483
[CLIENT] sent ACK 13510
[CLIENT] sent ACK 13534
[CLIENT] sent ACK 13560
[CLIENT] sent ACK 13584
[CLIENT] sent ACK 13605
[CLIENT] sent ACK 13630
[CLIENT] sent ACK 13657
[CLIENT] sent ACK 13683
[CLIENT] sent ACK 13708
[CLIENT] sent ACK 13733
[CLIENT] sent ACK 13760
[CLIENT] sent ACK 13786
[CLIENT] sent ACK 13811
[CLIENT] sent ACK 13835
[CLIENT] sent ACK 13859
[CLIENT] sent ACK 13884
[CLIENT] sent ACK 13910
[CLIENT] sent ACK 13932
