Script started on 2026-04-22 15:33:32+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && { /usr/bin/time -p sudo PYTHONPATH=. python3 -u main.py --mode client --config config_phase1.json --file ./gdrive-folder/test_100mb_file; } 2>&1" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[CLIENT] running on 172.31.64.201:50000
[CLIENT] talking to server 172.31.77.14:50000
[CLIENT] requested file: ./gdrive-folder/test_100mb_file
[CLIENT] sent ACK 14
[CLIENT] sent ACK 42
[CLIENT] sent ACK 70
[CLIENT] sent ACK 98
[CLIENT] sent ACK 127
[CLIENT] sent ACK 162
[CLIENT] sent ACK 191
[CLIENT] sent ACK 220
[CLIENT] sent ACK 249
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 255
[CLIENT] sent ACK 385
[CLIENT] sent ACK 385
[CLIENT] sent ACK 385
[CLIENT] sent ACK 385
[CLIENT] sent ACK 385
[CLIENT] sent ACK 573
[CLIENT] sent ACK 573
[CLIENT] sent ACK 573
[CLIENT] sent ACK 573
[CLIENT] sent ACK 573
[CLIENT] sent ACK 573
[CLIENT] sent ACK 573
[CLIENT] sent ACK 677
[CLIENT] sent ACK 677
[CLIENT] sent ACK 677
[CLIENT] sent ACK 677
[CLIENT] sent ACK 747
[CLIENT] sent ACK 747
[CLIENT] sent ACK 747
[CLIENT] sent ACK 936
[CLIENT] sent ACK 936
[CLIENT] sent ACK 936
[CLIENT] sent ACK 936
[CLIENT] sent ACK 936
[CLIENT] sent ACK 936
[CLIENT] sent ACK 936
[CLIENT] sent ACK 1006
[CLIENT] sent ACK 1006
[CLIENT] sent ACK 1006
[CLIENT] sent ACK 1095
[CLIENT] sent ACK 1095
[CLIENT] sent ACK 1095
[CLIENT] sent ACK 1095
[CLIENT] sent ACK 1185
[CLIENT] sent ACK 1185
[CLIENT] sent ACK 1185
[CLIENT] sent ACK 1185
[CLIENT] sent ACK 1380
[CLIENT] sent ACK 1380
[CLIENT] sent ACK 1380
[CLIENT] sent ACK 1380
[CLIENT] sent ACK 1380
[CLIENT] sent ACK 1380
[CLIENT] sent ACK 1380
[CLIENT] sent ACK 1550
[CLIENT] sent ACK 1550
[CLIENT] sent ACK 1550
[CLIENT] sent ACK 1550
[CLIENT] sent ACK 1550
[CLIENT] sent ACK 1550
[CLIENT] sent ACK 1594
[CLIENT] sent ACK 1614
[CLIENT] sent ACK 1660
[CLIENT] sent ACK 1699
[CLIENT] sent ACK 1699
[CLIENT] sent ACK 1732
[CLIENT] sent ACK 1788
[CLIENT] sent ACK 1818
[CLIENT] sent ACK 1818
[CLIENT] sent ACK 1925
[CLIENT] sent ACK 1925
[CLIENT] sent ACK 1925
[CLIENT] sent ACK 1925
[CLIENT] sent ACK 1925
[CLIENT] sent ACK 2057
[CLIENT] sent ACK 2057
[CLIENT] sent ACK 2057
[CLIENT] sent ACK 2057
[CLIENT] sent ACK 2057
[CLIENT] sent ACK 2143
[CLIENT] sent ACK 2143
[CLIENT] sent ACK 2143
[CLIENT] sent ACK 2143
[CLIENT] sent ACK 2277
[CLIENT] sent ACK 2277
[CLIENT] sent ACK 2277
[CLIENT] sent ACK 2277
[CLIENT] sent ACK 2277
[CLIENT] sent ACK 2373
[CLIENT] sent ACK 2373
[CLIENT] sent ACK 2373
[CLIENT] sent ACK 2373
[CLIENT] sent ACK 2518
[CLIENT] sent ACK 2518
[CLIENT] sent ACK 2518
[CLIENT] sent ACK 2518
[CLIENT] sent ACK 2518
[CLIENT] sent ACK 2532
[CLIENT] sent ACK 2665
[CLIENT] sent ACK 2665
[CLIENT] sent ACK 2665
[CLIENT] sent ACK 2665
[CLIENT] sent ACK 2665
[CLIENT] sent ACK 2758
[CLIENT] sent ACK 2758
[CLIENT] sent ACK 2758
[CLIENT] sent ACK 2758
[CLIENT] sent ACK 2834
[CLIENT] sent ACK 2834
[CLIENT] sent ACK 2834
[CLIENT] sent ACK 2834
[CLIENT] sent ACK 2914
[CLIENT] sent ACK 2914
[CLIENT] sent ACK 2914
[CLIENT] sent ACK 3108
[CLIENT] sent ACK 3108
[CLIENT] sent ACK 3108
[CLIENT] sent ACK 3108
[CLIENT] sent ACK 3108
[CLIENT] sent ACK 3108
[CLIENT] sent ACK 3108
[CLIENT] sent ACK 3217
[CLIENT] sent ACK 3217
[CLIENT] sent ACK 3217
[CLIENT] sent ACK 3217
[CLIENT] sent ACK 3445
[CLIENT] sent ACK 3445
[CLIENT] sent ACK 3445
[CLIENT] sent ACK 3445
[CLIENT] sent ACK 3445
[CLIENT] sent ACK 3445
[CLIENT] sent ACK 3445
[CLIENT] sent ACK 3445
[CLIENT] sent ACK 3498
[CLIENT] sent ACK 3522
[CLIENT] sent ACK 3522
[CLIENT] sent ACK 3618
[CLIENT] sent ACK 3618
[CLIENT] sent ACK 3618
[CLIENT] sent ACK 3618
[CLIENT] sent ACK 3697
[CLIENT] sent ACK 3697
[CLIENT] sent ACK 3697
[CLIENT] sent ACK 3772
[CLIENT] sent ACK 3772
[CLIENT] sent ACK 3772
[CLIENT] sent ACK 3848
[CLIENT] sent ACK 3848
[CLIENT] sent ACK 3848
[CLIENT] sent ACK 3923
[CLIENT] sent ACK 3923
[CLIENT] sent ACK 3923
[CLIENT] sent ACK 4084
[CLIENT] sent ACK 4084
[CLIENT] sent ACK 4084
[CLIENT] sent ACK 4084
[CLIENT] sent ACK 4084
[CLIENT] sent ACK 4084
[CLIENT] sent ACK 4219
[CLIENT] sent ACK 4219
[CLIENT] sent ACK 4219
[CLIENT] sent ACK 4219
[CLIENT] sent ACK 4219
[CLIENT] sent ACK 4319
[CLIENT] sent ACK 4319
[CLIENT] sent ACK 4319
[CLIENT] sent ACK 4319
[CLIENT] sent ACK 4406
[CLIENT] sent ACK 4406
[CLIENT] sent ACK 4406
[CLIENT] sent ACK 4406
[CLIENT] sent ACK 4518
[CLIENT] sent ACK 4518
[CLIENT] sent ACK 4518
[CLIENT] sent ACK 4518
[CLIENT] sent ACK 4518
[CLIENT] sent ACK 4621
[CLIENT] sent ACK 4621
[CLIENT] sent ACK 4621
[CLIENT] sent ACK 4621
[CLIENT] sent ACK 4799
[CLIENT] sent ACK 4799
[CLIENT] sent ACK 4799
[CLIENT] sent ACK 4799
[CLIENT] sent ACK 4799
[CLIENT] sent ACK 4799
[CLIENT] sent ACK 4799
[CLIENT] sent ACK 4958
[CLIENT] sent ACK 4958
[CLIENT] sent ACK 4958
[CLIENT] sent ACK 4958
[CLIENT] sent ACK 4958
[CLIENT] sent ACK 4958
[CLIENT] sent ACK 5082
[CLIENT] sent ACK 5082
[CLIENT] sent ACK 5082
[CLIENT] sent ACK 5082
[CLIENT] sent ACK 5082
[CLIENT] sent ACK 5215
[CLIENT] sent ACK 5215
[CLIENT] sent ACK 5215
[CLIENT] sent ACK 5215
[CLIENT] sent ACK 5215
[CLIENT] sent ACK 5393
[CLIENT] sent ACK 5393
[CLIENT] sent ACK 5393
[CLIENT] sent ACK 5393
[CLIENT] sent ACK 5393
[CLIENT] sent ACK 5393
[CLIENT] sent ACK 5393
[CLIENT] sent ACK 5488
[CLIENT] sent ACK 5488
[CLIENT] sent ACK 5488
[CLIENT] sent ACK 5488
[CLIENT] sent ACK 5575
[CLIENT] sent ACK 5575
[CLIENT] sent ACK 5575
[CLIENT] sent ACK 5575
[CLIENT] sent ACK 5697
[CLIENT] sent ACK 5697
[CLIENT] sent ACK 5697
[CLIENT] sent ACK 5697
[CLIENT] sent ACK 5697
[CLIENT] sent ACK 5787
[CLIENT] sent ACK 5787
[CLIENT] sent ACK 5787
[CLIENT] sent ACK 5787
[CLIENT] sent ACK 5926
[CLIENT] sent ACK 5926
[CLIENT] sent ACK 5926
[CLIENT] sent ACK 5926
[CLIENT] sent ACK 5926
[CLIENT] sent ACK 6024
[CLIENT] sent ACK 6024
[CLIENT] sent ACK 6024
[CLIENT] sent ACK 6024
[CLIENT] sent ACK 6230
[CLIENT] sent ACK 6230
[CLIENT] sent ACK 6230
[CLIENT] sent ACK 6230
[CLIENT] sent ACK 6230
[CLIENT] sent ACK 6230
[CLIENT] sent ACK 6230
[CLIENT] sent ACK 6230
[CLIENT] sent ACK 6396
[CLIENT] sent ACK 6396
[CLIENT] sent ACK 6396
[CLIENT] sent ACK 6396
[CLIENT] sent ACK 6396
[CLIENT] sent ACK 6396
[CLIENT] sent ACK 6558
[CLIENT] sent ACK 6558
[CLIENT] sent ACK 6558
[CLIENT] sent ACK 6558
[CLIENT] sent ACK 6558
[CLIENT] sent ACK 6558
[CLIENT] sent ACK 6641
