Script started on 2026-04-22 15:15:55+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && { /usr/bin/time -p sudo PYTHONPATH=. python3 -u main.py --mode client --config config_phase1.json --file ./gdrive-folder/test_10mb_file; } 2>&1" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[CLIENT] running on 172.31.64.201:50000
[CLIENT] talking to server 172.31.77.14:50000
[CLIENT] requested file: ./gdrive-folder/test_10mb_file
[CLIENT] sent ACK 16
[CLIENT] sent ACK 46
[CLIENT] sent ACK 74
[CLIENT] sent ACK 103
[CLIENT] sent ACK 131
[CLIENT] sent ACK 161
[CLIENT] sent ACK 188
[CLIENT] sent ACK 217
[CLIENT] sent ACK 245
[CLIENT] sent ACK 273
[CLIENT] sent ACK 301
[CLIENT] sent ACK 329
[CLIENT] sent ACK 358
[CLIENT] sent ACK 387
[CLIENT] sent ACK 414
[CLIENT] sent ACK 443
[CLIENT] sent ACK 470
[CLIENT] sent ACK 499
[CLIENT] sent ACK 525
[CLIENT] sent ACK 553
[CLIENT] sent ACK 580
[CLIENT] sent ACK 607
[CLIENT] sent ACK 635
[CLIENT] sent ACK 661
[CLIENT] sent ACK 687
[CLIENT] sent ACK 714
[CLIENT] sent ACK 745
[CLIENT] sent ACK 772
[CLIENT] sent ACK 799
[CLIENT] sent ACK 825
[CLIENT] sent ACK 853
[CLIENT] sent ACK 880
[CLIENT] sent ACK 907
[CLIENT] sent ACK 934
[CLIENT] sent ACK 959
[CLIENT] sent ACK 987
[CLIENT] sent ACK 1014
[CLIENT] sent ACK 1042
[CLIENT] sent ACK 1069
[CLIENT] sent ACK 1095
[CLIENT] sent ACK 1123
[CLIENT] sent ACK 1150
[CLIENT] sent ACK 1178
[CLIENT] sent ACK 1205
[CLIENT] sent ACK 1231
[CLIENT] sent ACK 1258
[CLIENT] sent ACK 1285
[CLIENT] sent ACK 1313
[CLIENT] sent ACK 1341
[CLIENT] sent ACK 1367
[CLIENT] sent ACK 1394
[CLIENT] sent ACK 1421
[CLIENT] sent ACK 1448
[CLIENT] sent ACK 1475
[CLIENT] sent ACK 1504
[CLIENT] sent ACK 1531
[CLIENT] sent ACK 1558
[CLIENT] sent ACK 1586
[CLIENT] sent ACK 1613
[CLIENT] sent ACK 1640
[CLIENT] sent ACK 1666
[CLIENT] sent ACK 1696
[CLIENT] sent ACK 1724
[CLIENT] sent ACK 1751
[CLIENT] sent ACK 1778
[CLIENT] sent ACK 1804
[CLIENT] sent ACK 1832
[CLIENT] sent ACK 1859
[CLIENT] sent ACK 1886
[CLIENT] sent ACK 1914
[CLIENT] sent ACK 1941
[CLIENT] sent ACK 1965
[CLIENT] sent ACK 1993
[CLIENT] sent ACK 2021
[CLIENT] sent ACK 2049
[CLIENT] sent ACK 2076
[CLIENT] sent ACK 2101
[CLIENT] sent ACK 2129
[CLIENT] sent ACK 2157
[CLIENT] sent ACK 2185
[CLIENT] sent ACK 2213
[CLIENT] sent ACK 2239
[CLIENT] sent ACK 2267
[CLIENT] sent ACK 2294
[CLIENT] sent ACK 2321
[CLIENT] sent ACK 2348
[CLIENT] sent ACK 2376
[CLIENT] sent ACK 2402
[CLIENT] sent ACK 2429
[CLIENT] sent ACK 2457
[CLIENT] sent ACK 2484
[CLIENT] sent ACK 2511
[CLIENT] sent ACK 2538
[CLIENT] sent ACK 2564
[CLIENT] sent ACK 2590
[CLIENT] sent ACK 2617
[CLIENT] sent ACK 2644
[CLIENT] sent ACK 2669
[CLIENT] sent ACK 2707
[CLIENT] sent ACK 2750
[CLIENT] sent ACK 2777
[CLIENT] sent ACK 2804
[CLIENT] sent ACK 2831
[CLIENT] sent ACK 2859
[CLIENT] sent ACK 2884
[CLIENT] sent ACK 2914
[CLIENT] sent ACK 2941
[CLIENT] sent ACK 2968
[CLIENT] sent ACK 2996
[CLIENT] sent ACK 3022
[CLIENT] sent ACK 3050
[CLIENT] sent ACK 3076
[CLIENT] sent ACK 3104
[CLIENT] sent ACK 3131
[CLIENT] sent ACK 3157
[CLIENT] sent ACK 3183
[CLIENT] sent ACK 3211
[CLIENT] sent ACK 3238
[CLIENT] sent ACK 3265
[CLIENT] sent ACK 3292
[CLIENT] sent ACK 3318
[CLIENT] sent ACK 3346
[CLIENT] sent ACK 3374
[CLIENT] sent ACK 3402
[CLIENT] sent ACK 3429
[CLIENT] sent ACK 3456
[CLIENT] sent ACK 3482
[CLIENT] sent ACK 3511
[CLIENT] sent ACK 3538
[CLIENT] sent ACK 3566
[CLIENT] sent ACK 3593
[CLIENT] sent ACK 3607
[CLIENT] sent ACK 3637
[CLIENT] sent ACK 3703
[CLIENT] sent ACK 3735
[CLIENT] sent ACK 3762
[CLIENT] sent ACK 3790
[CLIENT] sent ACK 3815
[CLIENT] sent ACK 3843
[CLIENT] sent ACK 3870
[CLIENT] sent ACK 3899
[CLIENT] sent ACK 3926
[CLIENT] sent ACK 3951
[CLIENT] sent ACK 3979
[CLIENT] sent ACK 4006
[CLIENT] sent ACK 4034
[CLIENT] sent ACK 4061
[CLIENT] sent ACK 4087
[CLIENT] sent ACK 4114
[CLIENT] sent ACK 4143
[CLIENT] sent ACK 4170
[CLIENT] sent ACK 4197
[CLIENT] sent ACK 4223
[CLIENT] sent ACK 4251
